Ano;Mês;UF;Precipitação Total;Temperatura Média
2015;Fevereiro;Amapá;280.0;24.24
2015;Março;Amapá;32.0;14.24
2015;Abril;Amapá;0.0;12.54
2015;Maio;Amapá;0.0;8.89
2015;Junho;Amapá;0.0;4.74
2015;Julho;Amapá;22.8;4.9
2015;Agosto;Amapá;117.2;26.12
2015;Setembro;Amapá;9.4;27.69
2015;Outubro;Amapá;26.2;27.89
2015;Novembro;Amapá;67.0;27.66
2015;Dezembro;Amapá;283.0;26.84
2015;Janeiro;Pará;3479.2;22.32
2015;Fevereiro;Pará;3108.2;21.55
2015;Março;Pará;4827.6;20.38
2015;Abril;Pará;3644.6;20.6
2015;Maio;Pará;2353.8;22.4
2015;Junho;Pará;1505.8;21.51
2015;Julho;Pará;1132.2;19.0
2015;Agosto;Pará;301.8;19.35
2015;Setembro;Pará;252.2;22.81
2015;Outubro;Pará;546.6;23.13
2015;Novembro;Pará;358.2;21.71
2015;Dezembro;Pará;1122.6;23.56
2015;Janeiro;Rondônia;606.8;12.43
2015;Fevereiro;Rondônia;771.2;15.97
2015;Março;Rondônia;1184.2;18.96
2015;Abril;Rondônia;666.8;19.96
2015;Maio;Rondônia;821.2;25.28
2015;Junho;Rondônia;38.4;24.58
2015;Julho;Rondônia;39.8;23.84
2015;Agosto;Rondônia;41.8;21.98
2015;Setembro;Rondônia;56.6;17.56
2015;Outubro;Rondônia;344.0;17.94
2015;Novembro;Rondônia;361.2;27.18
2015;Dezembro;Rondônia;934.6;26.37
2015;Janeiro;Roraima;12.4;28.18
2015;Fevereiro;Roraima;1.8;28.97
2015;Março;Roraima;2.0;29.0
2015;Abril;Roraima;0.0;28.72
2015;Maio;Roraima;0.0;26.48
2015;Junho;Roraima;0.0;26.3
2015;Julho;Roraima;0.0;26.24
2015;Agosto;Roraima;0.0;27.26
2015;Setembro;Roraima;0.0;29.54
2015;Outubro;Roraima;0.0;29.86
2015;Novembro;Roraima;0.0;29.54
2015;Dezembro;Roraima;10.4;28.63
